Title,Release_Year,Locations,Production_Company,Distributor,Director,Writer,Actor1,Actor2,Actor3,Coordinates
Basic Instinct,1992,"Tosca Caf� (242 Columbus Avenue), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7976266 -122.4058736
Basic Instinct,1992,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7698293 -122.466105
Basic Instinct,1992,"Pier 7 (The Embarcadero), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7986725 -122.3968247
Basic Instinct,1992,"Kearney Street (Telegraph Hill), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.8016977 -122.4062152
Big Eyes,2014,"Nobles Alley, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.8009834 -122.407411
Basic Instinct,1992,"Hall of Justice (850 Bryant Street), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.775471 -122.4037169
Basic Instinct,1992,"2930 Vallejo Street, San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.79407380000001 -122.445618
Basic Instinct,1992,"Chinatown, San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7941378 -122.4077914
Basic Instinct,1992,"Gibb Street (Chinatown), San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7960309 -122.4044419
Basic Instinct,1992,"1158-70 Montgomery Street, San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.799987 -122.403972
Basic Instinct,1992,"2104 Broadway, San Francisco",Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,37.7949212 -122.4320907
Beautiful Boy,2018,"Ohloff Recovery Center (601 Steiner St), San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.7748567 -122.4330105
Beautiful Boy,2018,"Haight at Masonic, San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.7702198 -122.4453661
Beautiful Boy,2018,"Tenderloin Neighborhood, San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.7846598 -122.4145058
Beautiful Boy,2018,"Olympic Flame Caf�, 555 Geary St, San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.786733 -122.4124366
Beautiful Boy,2018,"18th St at San Bruno Ave., San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.7620697 -122.4052339
Beautiful Boy,2018,"Wisconsin between 19th and 20th St, San Francisco",Big Indie Pictures,Amazon Studios,Felix van Groeningen,Luke Davies,Steve Carell,Timothee Chalamet,Maura Tierney,37.7952457 -122.4035231
Big Eyes,2014,"Caffe Trieste, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.7986623 -122.4073207
Big Eyes,2014,"Palace of Fine Arts, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.8029577 -122.4491929
Big Eyes,2014,"1101 Filbert St. , San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.8001923 -122.4178135
Big Eyes,2014,"Saints Peter & Paul Church, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.80159099999999 -122.4101982
Big Eyes,2014,"Green St. & Grant Ave., San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.79971219999999 -122.4074155
Big Eyes,2014,"Filbert St. & Leavenworth, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.8003487 -122.4176339
Big Eyes,2014,"Pine St. & Grant, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.7915062 -122.4057618
Big Eyes,2014,"Way Faire Inn on Leidesdorff, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.7931179 -122.4031075
Big Eyes,2014,"Harry's Bar on Fillmore, San Francisco",Blink & Wink Productions,Weinstein Company,Tim Burton,Scott Alexander,Amy Adams,Krysten Ritter,Christoph Waltz,37.7883499 -122.4334685
Birdman of Alcatraz,1962,"Alcatraz Island, San Francisco",Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,37.8269775 -122.4229555
Birdman of Alcatraz,1962,"Pier 43 1/2, San Francisco",Norma Productions,United Artists,John Frankenheimer,Guy Trosper,Burt Lancaster,Karl Maden,Thelma Ritter,37.809041 -122.414528
Birth of the Dragon,2016,"Lands End Trail at Eagles Point/ Lincoln Park Golf Course, San Francisco","BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,37.78670049999999 -122.4948301
Birth of the Dragon,2016,"Pier 45 - Jeremiah O'Brien Liberty Ship, San Francisco","BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi ,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,37.8110638 -122.4181442
