Title,Release_Year,Locations,Production_Company,Distributor,Director,Writer,Actor1,Actor2,Actor3,Coordinates
Etruscan Smile,2017,"Chaya / Perry's 132 Embarcadero, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7930864 -122.392181
Etruscan Smile,2017,"Castle Street @ Green Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.8000109 -122.4050755
Etruscan Smile,2017,"1227 Montgomery Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.8004781 -122.404539
Etruscan Smile,2017,"San Francisco City Hall, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7792597 -122.4192646
Etruscan Smile,2017,"San Francisco Airport, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.6213129 -122.3789554
Etruscan Smile,2017,"Benu Restaurant, 22 Hawthorne Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.78545200000001 -122.399036
Etruscan Smile,2017,"Jones @ Broadway, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7968072 -122.4152099
Etruscan Smile,2017,"Bentley Reserve, 301 Battery Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7943448 -122.4006632
Etruscan Smile,2017,"St Regis Hotel, 125 3rd Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.78596 -122.4014544
Etruscan Smile,2017,"Marriott Marquis, 780 Mission Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7852279 -122.404389
Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd., San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.747287 -122.4592344
Etruscan Smile,2017,"California Street between Sansome & Davis, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7942388 -122.4011299
Etruscan Smile,2017,"3rd Street between Market & Harrison, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7825651 -122.3974118
Etruscan Smile,2017,"Mason Street @ Vallejo , San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7981761 -122.412118
Etruscan Smile,2017,"225 California Street, San Francisco","Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,37.7930909 -122.3992633
Experiment in Terror,1962,"George Washington High School (600 32nd Avenue ), San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7778259 -122.4918861
Experiment in Terror,1962,"Wells Fargo Bank (1 California Street, Financial District), San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7933805 -122.3967437
Experiment in Terror,1962,"Sheraton Palace Hotel (2 Montgomery Street, Financial District), San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7881439 -122.4017237
Experiment in Terror,1962,"Roaring Twenties Nightclub (555 Broadway at Columbus), San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7980446 -122.4064657
Experiment in Terror,1962,"Candlestick Park, San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7136933 -122.3796916
Experiment in Terror,1962,"100 St. Germain Avenue, San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7576417 -122.4505057
Experiment in Terror,1962,"1 Montgomery Street at Post, San Francisco",Columbia Pictures Corporation,Columbia Pictures,Blake Edwards,The Gordons,Glenn Ford,Lee Remick,Stefanie Powers,37.7895121 -122.4035876
Family Plot,1976,"Grace Cathedral Episcopal Church (1100 California Street), San Francisco",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,37.7918581 -122.4134328
Family Plot,1976,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,37.7923723 -122.4105611
Family Plot,1976,"2230 Sacramento Street, San Francisco",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,37.7905166 -122.4305775
Family Plot,1976,"Nob Hill, San Francisco",Universal Pictures,Universal Pictures,Alfred Hitchcock,Ernest Lehman,Karen Black,Bruce Dern,Barbara Harris,37.793014 -122.416113
Fearless,1993,"400 Montgomery Street, San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.7931409 -122.4025849
Fearless,1993,"Folsom Street & Embarcadero, San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.7842925 -122.3983503
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square), San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.80159099999999 -122.4101982
Fearless,1993,"San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill), San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.7553614 -122.4051687
Fearless,1993,"Kohl Building (400 Montgomery Street), San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.7931409 -122.4025849
Fearless,1993,"Bank of America Building (555 California Street), San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.792062 -122.4037148
Fearless,1993,"90 Gold Street, San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.7967585 -122.4034713
Fearless,1993,"5th and Beale Streets, San Francisco",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,37.787683 -122.3917907
Flower Drum Song,1961,"Golden Gate Bridge, San Francisco",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,37.8190603 -122.4781232
Flower Drum Song,1961,"Chinatown, San Francisco",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,37.7941378 -122.4077914
Foul Play,1978,"War Memorial Opera House (401 Van Ness Avenue), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7785999 -122.4208
Foul Play,1978,"Sutter & Buchannan Streets, San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.786514 -122.4299902
Foul Play,1978,"Sutter & Baker Streets, San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7848308 -122.4432077
Foul Play,1978,"Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.78651 -122.428578
Foul Play,1978,"Sacramento & Hyde Streets (Nob Hill), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.791938 -122.4176076
Foul Play,1978,"Postcard Row (Alamo Square, Hayes Valley), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7762593 -122.432758
Foul Play,1978,"Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7641206 -122.3945251
Foul Play,1978,"Octavia & Hayes Streets (Hayes Valley), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7767142 -122.4243971
Foul Play,1978,"Montgomery & Pine Streets (Financial District), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7919106 -122.4025966
Foul Play,1978,"Laguna & Sacramento Streets (Pacific Heights), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7904717 -122.4291211
Foul Play,1978,"Hayes Valley Care (601 Laguna Street, Hayes Valley), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7767801 -122.4265958
Foul Play,1978,"Golden Gate & Steiner Streets (Hayes Valley), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7793624 -122.43362
Foul Play,1978,"Fort Point, Presidio, San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.8106185 -122.4770527
Foul Play,1978,"Fort Mason (Golden Gate National Recreation Area), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.8055176 -122.4283351
Foul Play,1978,"Flood Building (870 Market Street), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7850231 -122.4070834
Foul Play,1978,"Fiesta Laundromat (898 S. Van Ness Ave., Mission), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7588719 -122.4172704
Foul Play,1978,"City Hall, San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7792597 -122.4192646
Foul Play,1978,"California & Larkin Streets (Nob Hill), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.790797 -122.4190635
Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7801637 -122.4161985
Foul Play,1978,"430 Vallejo Street (Telegraph Hill), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7993208 -122.4046718
Foul Play,1978,"24th and Castro Streets (Noe Valley), San Francisco",Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,37.7513079 -122.4341091
Freebie and the Bean,1974,"Alco Plaza, San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,19.4679997 -99.14442179999999
Freebie and the Bean,1974,"Twin Peaks, San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7525098 -122.4475683
Freebie and the Bean,1974,"TransAmerica Pyramid (600 Montgomery Street), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.79517750000001 -122.4027787
Freebie and the Bean,1974,"Stockton Tunnel (Stockton Street at Sutter Street), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7900691 -122.4064769
Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7698293 -122.466105
Freebie and the Bean,1974,"Potrero Hill, San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7604929 -122.400869
Freebie and the Bean,1974,"Nob Hill, San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.793014 -122.416113
Freebie and the Bean,1974,"Hyatt Regency Hotel (5 Embarcadero Center), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.794372 -122.395843
Freebie and the Bean,1974,"Folsom Street (SOMA), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7794588 -122.4044588
Freebie and the Bean,1974,"Fairmont Hotel (950 Mason Street, Nob Hill), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7923723 -122.4105611
Freebie and the Bean,1974,"Embarcadero Freeway, San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7881524 -122.2512872
Freebie and the Bean,1974,"Candlestick Park (602 Jamestown Ave.), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7135308 -122.3861392
Freebie and the Bean,1974,"Broadway and Columbus Avenue (North Beach), San Francisco",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,37.7978749 -122.4067162
Gentleman Jim,1942,"The Barbary Coast, San Francisco",Warner Bros. Pictures,Warner Bros. Pictures,Raoul Walsh,Vincent Lawrence,Errol Flynn,Alexis Smith,Jack Carson,37.7998525 -122.4072593
GirlBoss,2017,"Mission Dolores Park, 19th St. & Dolores St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7598327 -122.4258706
GirlBoss,2017,"Green and Divisadero, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7953275 -122.4419248
GirlBoss,2017,"1375 Haight St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7698938 -122.4447426
GirlBoss,2017,"Mission Thrift, 2330 Mission St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.759752 -122.4193958
GirlBoss,2017,"The Castro Theater, 429 Castro St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7620333 -122.4347591
GirlBoss,2017,"Clarion Alley between Valencia and Mission, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7630427 -122.4203277
GirlBoss,2017,"Fillmore and Waller, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7711891 -122.4302841
GirlBoss,2017,"La Taqueria, 2889 Mission St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7508961 -122.4180867
GirlBoss,2017,"Various Haight St. Vintage Shops, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7700881 -122.4472166
GirlBoss,2017,"Clayton Post Office, 554 Clayton St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7700395 -122.4484058
GirlBoss,2017,"Taylor and Union, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7998334 -122.4141412
GirlBoss,2017,"Filbert between Grant and Kearny, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.801366 -122.4079346
GirlBoss,2017,"Filbert and Kearny Steps, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.801771 -122.4062606
GirlBoss,2017,"Boulevard Restaurant, 1 Mission St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.79332 -122.392761
GirlBoss,2017,"Grant between California and Washington, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.795097 -122.406202
GirlBoss,2017,"Musee Mecanique, Fisherman's Wharf, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.8093405 -122.4160609
GirlBoss,2017,"Mission between 19th and 25th St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.75074800000001 -122.418691
GirlBoss,2017,"Underground SF, 424 Haight St., San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.7724664 -122.4293949
GirlBoss,2017,"Fillmore between Haight and Waller, San Francisco","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,37.771315 -122.430458
Godzilla,2014,"Kearney & Pine St., San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7916933 -122.4042585
Godzilla,2014,"California & Davis St, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7935225 -122.3976275
Godzilla,2014,"Pine St. & Davis St, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.792584 -122.3974392
Godzilla,2014,"Sacramento & Front St., San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7942967 -122.3989876
Godzilla,2014,"Broadway & Sansome, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7984385 -122.4022479
Godzilla,2014,"Broadway & Columbus, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7978749 -122.4067162
Godzilla,2014,"Post & Jones St., San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.78768170000001 -122.4133747
Godzilla,2014,"Stockton & Clay St, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7940644 -122.4079215
Godzilla,2014,"Bush & Kearny, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7907632 -122.4040735
Godzilla,2014,"Mission & Fremont St, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7904547 -122.3967264
Godzilla,2014,"Eddy & Taylor St., San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7841597 -122.4109775
Godzilla,2014,"Pier 7 (The Embarcadero), San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7986725 -122.3968247
Godzilla,2014,"Pier 1, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7810288 -122.4568025
Godzilla,2014,"Embarcadero & Washington, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7961171 -122.396016
Godzilla,2014,"Mission & Beal, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7911592 -122.3958262
Godzilla,2014,"Potrero &San Bruno, San Francisco","Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,37.7595202 -122.4049151
Good NeighborSam,1964,"Various locations in San Francisco during driving scene, San Francisco",Columbia Pictures Corporation,Columbia Pictures,David Swift,James Fritzell,Jack Lemmon,Romy Schneider,Dorothy Provine,37.7994735 -122.4370363
Greed,1924,"Cliff House (1090 Point Lobos Avenue), San Francisco",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,Gibson Gowland,Jean Hersholt,37.7784764 -122.513963
Greed,1924,"Bush and Sutter Streets, San Francisco",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,Gibson Gowland,Jean Hersholt,37.789029 -122.419075
Greed,1924,"Hayes Street at Laguna, San Francisco",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Eric von Stroheim ,Eric von Stroheim ,Zasu Pitts,Gibson Gowland,Jean Hersholt,37.7764699 -122.4262854
Guess Who's Coming to Dinner,1967,"San Francisco International Airport, San Francisco",Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,37.6213129 -122.3789554
Guess Who's Coming to Dinner,1967,"Mel's Drive-In (Corner South Van Ness & Mission St.), San Francisco",Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,37.7841099 -122.4045148
Guess Who's Coming to Dinner,1967,"634 Raycliff Terrace, San Francisco",Columbia Pictures Corporation,Columbia Pictures,Stanley Kramer,William Rose,Spencer Tracy,Sidney Poitier,Katharine Hepburn,37.7927872 -122.4427541
Heart Beat,1980,"San Francisco Art Institute (800 Chestnut Street), San Francisco",Orion Pictures Corporation,Orion Pictures Corporation,John Byrum,John Byrum,Nick Nolte,Sissy Spacek,John Heard,37.803376 -122.417167
