Title,Release Year,Locations,Coordinates
Blue Jasmine,2013,"2179 48th Ave, San Francisco",37.7455566 -122.5072394
Blue Jasmine,2013,"The Ramp Restaurant, San Francisco",37.7641206 -122.3867726
Blue Jasmine,2013,"303-305 S. Van Ness, San Francisco",37.7682683 -122.4176369
Blue Jasmine,2013,"3563 20th St., San Francisco",37.7584616 -122.420399
Blue Jasmine,2013,"Taylor & Green St., San Francisco",37.7989091 -122.4139396
Blue Jasmine,2013,"Grant & Washington St., San Francisco",37.7951563 -122.4064963
Blue Jasmine,2013,"2934 24th St., San Francisco",37.7529598 -122.4107118
Blue Jasmine,2013,"1138 Alabama St, San Francisco",37.75367 -122.4112992
Blue Jasmine,2013,"South Park, San Francisco",37.7816579 -122.3938961
Blue Jasmine,2013,"2915 16th St., San Francisco",37.7650165 -122.4179625
Blue Jasmine,2013,"Trolley Car from Market and 11th, San Francisco",37.7722481 -122.414743
Blue Jasmine,2013,"Real Guitars, San Francisco",37.7734127 -122.4174864
Blue Jasmine,2013,"Aub Zam Zam Bar, San Francisco",37.769619 -122.449291
Blue Jasmine,2013,"790 Ulloa , San Francisco",37.7408365 -122.4647031
Blue Jasmine,2013,"SFO International Airport Terminal 3, San Francisco",37.6213129 -122.3789554
Blue Jasmine,2013,"2178 Palou Ave., San Francisco",37.7406288 -122.4015231
Boys and Girls,2000,"1122 Folsom Street, San Francisco",37.7763832 -122.4086985
Boys and Girls,2000,"St. Peter & Paul's Church (666 Filbert Street, Washington Square), San Francisco",37.8013901 -122.4101618
Boys and Girls,2000,"Golden Gate Bridge, San Francisco",37.8190603 -122.4781232
Boys and Girls,2000,"Fisherman's Wharf, San Francisco",37.8079996 -122.4177434
Boys and Girls,2000,"Ferry Building, San Francisco",37.7955703 -122.3933208
Boys and Girls,2000,"Coit Tower, San Francisco",37.8023949 -122.4058222
Boys and Girls,2000,"City Hall, San Francisco",37.7792597 -122.4192646
Boys and Girls,2000,"Lombard Street, San Francisco",37.80098510000001 -122.4267626
Boys and Girls,2000,"Chinatown, San Francisco",37.7941378 -122.4077914
Boys and Girls,2000,"Aquatic Park (Jefferson Street), San Francisco",37.80774299999999 -122.42415
Boys and Girls,2000,"Alcatraz Island, San Francisco",37.8269775 -122.4229555
Boys and Girls,2000,"628 Cole Street, San Francisco",37.769226 -122.4504325
Broken-A Modern Love Story ,2010,"Ina Coolbrith Park (1700 Taylor Street), San Francisco",37.7982629 -122.4134525
Broken-A Modern Love Story ,2010,"0-100 block Halleck Street, San Francisco",37.803479 -122.4542968
"Budding Prospects, Pilot",2017,"3050 24th Street, San Francisco",37.7527686 -122.4132118
"Budding Prospects, Pilot",2017,"3033 24th Street, San Francisco",37.75241219999999 -122.4126145
"Budding Prospects, Pilot",2017,"2937 24th Street, San Francisco",37.7525985 -122.4108534
"Budding Prospects, Pilot",2017,"1167 Alabama Street, San Francisco",37.7532795 -122.4108224
"Budding Prospects, Pilot",2017,"1641 York Street, San Francisco",37.7473312 -122.4062631
"Budding Prospects, Pilot",2017,"Bernal Heights Boulevard, San Francisco",37.7422489 -122.4126018
"Budding Prospects, Pilot",2017,"40 Prentiss Street, San Francisco",37.7420855 -122.4121056
"Budding Prospects, Pilot",2017,"500 Cortland Avenue, San Francisco",37.7388562 -122.4161326
"Budding Prospects, Pilot",2017,"Lucky Street, San Francisco",37.7509423 -122.4133835
"Budding Prospects, Pilot",2017,"1125 Guerrero Street, San Francisco",37.753209 -122.4226803
"Budding Prospects, Pilot",2017,"Gough Street & Clay Street, San Francisco",37.79176959999999 -122.4260016
"Budding Prospects, Pilot",2017,"2007 Franklin Street, San Francisco",37.7932989 -122.424981
"Budding Prospects, Pilot",2017,"951 Hudson Avenue, San Francisco",37.7331614 -122.376629
Bullitt,1968,"Bayshore Blvd near Cesar Chavez (Bayview), San Francisco",37.749019 -122.4041305
Bullitt,1968,"Taylor & Vallejo Streets (Russian Hill), San Francisco",37.79797569999999 -122.4137454
Burglar,1987,"1627 Haight Street, San Francisco",37.7695855 -122.4492143
Bullitt,1968,"SF General Hospital Center (1001 Potrero Avenue, Potrero Hill), San Francisco",37.7553614 -122.4051687
Bullitt,1968,"McLaren Park (Visitacion  Valley), San Francisco",37.719309 -122.4193742
Bullitt,1968,"Mark Hopkins Hotel (999 California Street), San Francisco",37.79150509999999 -122.4104582
Bullitt,1968,"Marina Green (Marina District), San Francisco",37.8069514 -122.4393511
